2022-03-21 16:10:32 status unpacked libnghttp2-14:amd64 1.43.0-1
2022-03-21 16:10:32 install libpsl5:amd64 <none> 0.21.0-1.2
2022-03-21 16:10:32 status half-installed libpsl5:amd64 0.21.0-1.2
2022-03-21 16:10:32 status unpacked libpsl5:amd64 0.21.0-1.2
2022-03-21 16:10:32 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2022-03-21 16:10:32 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-03-21 16:10:32 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-03-21 16:10:32 install libssh2-1:amd64 <none> 1.9.0-2
2022-03-21 16:10:32 status half-installed libssh2-1:amd64 1.9.0-2
2022-03-21 16:10:32 status unpacked libssh2-1:amd64 1.9.0-2
2022-03-21 16:10:32 install libcurl4:amd64 <none> 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 status half-installed libcurl4:amd64 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 status unpacked libcurl4:amd64 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 install curl:amd64 <none> 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 status half-installed curl:amd64 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 status unpacked curl:amd64 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 install publicsuffix:all <none> 20211207.1025-0+deb11u1
2022-03-21 16:10:32 status half-installed publicsuffix:all 20211207.1025-0+deb11u1
2022-03-21 16:10:32 status unpacked publicsuffix:all 20211207.1025-0+deb11u1
2022-03-21 16:10:32 startup packages configure
2022-03-21 16:10:32 configure libpsl5:amd64 0.21.0-1.2 <none>
2022-03-21 16:10:32 status unpacked libpsl5:amd64 0.21.0-1.2
2022-03-21 16:10:32 status half-configured libpsl5:amd64 0.21.0-1.2
2022-03-21 16:10:32 status installed libpsl5:amd64 0.21.0-1.2
2022-03-21 16:10:32 configure libbrotli1:amd64 1.0.9-2+b2 <none>
2022-03-21 16:10:32 status unpacked libbrotli1:amd64 1.0.9-2+b2
2022-03-21 16:10:32 status half-configured libbrotli1:amd64 1.0.9-2+b2
2022-03-21 16:10:32 status installed libbrotli1:amd64 1.0.9-2+b2
2022-03-21 16:10:32 configure libnghttp2-14:amd64 1.43.0-1 <none>
2022-03-21 16:10:32 status unpacked libnghttp2-14:amd64 1.43.0-1
2022-03-21 16:10:32 status half-configured libnghttp2-14:amd64 1.43.0-1
2022-03-21 16:10:32 status installed libnghttp2-14:amd64 1.43.0-1
2022-03-21 16:10:32 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2022-03-21 16:10:32 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-03-21 16:10:32 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-03-21 16:10:32 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-03-21 16:10:32 configure libssh2-1:amd64 1.9.0-2 <none>
2022-03-21 16:10:32 status unpacked libssh2-1:amd64 1.9.0-2
2022-03-21 16:10:32 status half-configured libssh2-1:amd64 1.9.0-2
2022-03-21 16:10:32 status installed libssh2-1:amd64 1.9.0-2
2022-03-21 16:10:32 configure publicsuffix:all 20211207.1025-0+deb11u1 <none>
2022-03-21 16:10:32 status unpacked publicsuffix:all 20211207.1025-0+deb11u1
2022-03-21 16:10:32 status half-configured publicsuffix:all 20211207.1025-0+deb11u1
2022-03-21 16:10:32 status installed publicsuffix:all 20211207.1025-0+deb11u1
2022-03-21 16:10:32 configure libcurl4:amd64 7.74.0-1.3+deb11u1 <none>
2022-03-21 16:10:32 status unpacked libcurl4:amd64 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 status half-configured libcurl4:amd64 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 status installed libcurl4:amd64 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 configure curl:amd64 7.74.0-1.3+deb11u1 <none>
2022-03-21 16:10:32 status unpacked curl:amd64 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 status half-configured curl:amd64 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 status installed curl:amd64 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 trigproc libc-bin:amd64 2.31-13+deb11u2 <none>
2022-03-21 16:10:32 status half-configured libc-bin:amd64 2.31-13+deb11u2
2022-03-21 16:10:32 status installed libc-bin:amd64 2.31-13+deb11u2
2022-03-21 16:10:41 startup archives unpack
2022-03-21 16:10:41 install wget:amd64 <none> 1.21-1+deb11u1
2022-03-21 16:10:41 status half-installed wget:amd64 1.21-1+deb11u1
2022-03-21 16:10:41 status unpacked wget:amd64 1.21-1+deb11u1
2022-03-21 16:10:41 startup packages configure
2022-03-21 16:10:41 configure wget:amd64 1.21-1+deb11u1 <none>
2022-03-21 16:10:41 status unpacked wget:amd64 1.21-1+deb11u1
2022-03-21 16:10:41 status half-configured wget:amd64 1.21-1+deb11u1
2022-03-21 16:10:41 status installed wget:amd64 1.21-1+deb11u1
2022-03-21 16:13:10 startup archives unpack
2022-03-21 16:13:10 install nano:amd64 <none> 5.4-2
2022-03-21 16:13:10 status half-installed nano:amd64 5.4-2
2022-03-21 16:13:10 status unpacked nano:amd64 5.4-2
2022-03-21 16:13:10 startup packages configure
2022-03-21 16:13:10 configure nano:amd64 5.4-2 <none>
2022-03-21 16:13:10 status unpacked nano:amd64 5.4-2
2022-03-21 16:13:10 status half-configured nano:amd64 5.4-2
2022-03-21 16:13:10 status installed nano:amd64 5.4-2
